Parameters,Custom Accuracy,sklearn Accuracy,Acc Diff,Custom F1,sklearn F1,F1 Diff
"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}",0.9733,0.9733,0.0000,0.9730,0.9733,0.0002
"{'C': 0.1, 'kernel': 'linear', 'gamma': 'auto'}",0.9733,0.9733,0.0000,0.9730,0.9733,0.0002
"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale'}",0.9400,0.9200,0.0200,0.9409,0.9193,0.0216
"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'auto'}",0.9467,0.9467,0.0000,0.9494,0.9466,0.0028
"{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}",0.9733,0.9800,0.0067,0.9742,0.9799,0.0057
"{'C': 1, 'kernel': 'linear', 'gamma': 'auto'}",0.9733,0.9800,0.0067,0.9742,0.9799,0.0057
"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}",0.9667,0.9667,0.0000,0.9670,0.9666,0.0004
"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",0.9733,0.9800,0.0067,0.9732,0.9799,0.0067
"{'C': 10, 'kernel': 'linear', 'gamma': 'scale'}",0.9600,0.9733,0.0133,0.9575,0.9729,0.0153
"{'C': 10, 'kernel': 'linear', 'gamma': 'auto'}",0.9600,0.9733,0.0133,0.9575,0.9729,0.0153
"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.9667,0.9800,0.0133,0.9659,0.9799,0.0140
"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",0.9667,0.9800,0.0133,0.9659,0.9799,0.0140
